doi,authors
10.17744/mehc.41.4.05,"['Susan M. Long', 'Madeline Clark', 'Clark D. Ausloos', 'Rachel Jacoby', 'Carla McGhee']"
10.1542/peds.2014-0594,"['Amy J. Houtrow', 'Kandyce Larson', 'Lynn Olson', 'Paul W. Newacheck', 'Neal Halfon']"
10.1136/bmj.39377.580162.55,"['Kate E. Pickett', 'Richard G. Wilkinson']"
10.3389/fpsyg.2019.00937,"['Satomi Doi', 'Takeo Fujiwara', 'Aya Isumi', 'Manami Ochi']"
10.5860/choice.195387,['Michael Marmot']
10.1177/15404153231181110,"['Evan V. Goldstein', 'Elise V. Bailey', 'Fernando A. Wilson']"
10.1371/journal.pone.0265530,"['Sandra Jumbe', 'Joel Nyali', 'Maryrose Simbeye', 'Nelson Zakeyu', 'Gase Motshewa', 'Subba Rao Pulapa']"
10.1177/0002764207311984,['John C. Buckner']
10.1177/1049732306289224,"['Carol Anderson', 'Cynthia S. Robins', 'Catherine G. Greeno', 'Helen Cahalane', 'Valire Carr Copeland', 'Rachael Andrews']"
10.1001/jama.294.5.571,['Grant N. Marshall']
10.1080/17441691003796387,"['Ashraf Kagee', 'Robert H. Remien', 'Alan Berkman', 'Sarah J. Hoffman', 'Lorenza Nogueira Campos', 'Leslie Swartz']"
10.1080/13668250400014491,['Eric Emerson']
10.1146/annurev-devpsych-011922-012402,"['Christopher S. Monk', 'Felicia A. Hardi']"
10.1002/wps.21160,"['James B. Kirkbride', 'Deidre M. Anglin', 'Ian Colman', 'Jennifer Dykxhoorn', 'Peter B. Jones', 'Praveetha Patalay', 'Alexandra Pitman', 'Emma Soneson', 'Thomas Steare', 'Talen Wright', 'Siân Lowri Griffiths']"
10.1186/1471-2458-7-225,"['Michelle Kermode', 'Helen Herrman', 'R Arole', 'Joshua White', 'R. Premkumar', 'Vikram Patel']"
10.1007/s10995-015-1797-8,"['Molly Knowles', 'Jenny Rabinowich', 'Stephanie Ettinger de Cuba', 'Diana B. Cutts', 'Mariana Chilton']"
10.1097/nmd.0000000000000516,"['Morton Beiser', 'Fengsu Hou']"
10.1177/00139160121972936,"['Gary W. Evans', 'Susan Saegert', 'Rebecca Arden Harris']"
10.1136/bmj.323.7313.599,"['Bacy W. Fleitlich', 'Robert Goodman']"
10.15453/0191-5096.4128,"['Margaret Ralston', 'Kecia R. Johnson', 'Leslie Hossfeld', 'Bettina M. Beech']"
10.1186/s13034-022-00457-y,"['Zoe Duby', 'Brittany Bunce', 'Chantal Fowler', 'Kate Bergh', 'Kim Jonas', 'Janan Dietrich', 'Darshini Govindasamy', 'Caroline Kuo', 'Catherine Mathews']"
10.1353/hpu.2005.0038,"['Steven P. Kurtz', 'Hilary L. Surratt', 'Marion C. Kiley', 'James A. Inciardi']"
10.1257/aer.20141406,"['Petra Persson', 'Maya Rossin‐Slater']"
10.2307/2137241,"['David T. Takeuchi', 'Khanh-Van T. Bui', 'Lauren Kim']"
10.1002/j.2051-5545.2012.tb00114.x,"['Kristian Wahlbeck', 'David McDaid']"
10.1177/0164027508322693,['Krysia N. Mossakowski']
10.1177/002214650804900107,"['Sherrill L. Sellers', 'Harold W. Neighbors']"
10.1186/1472-6963-14-376,"['Anna Skosireva', 'Patricia O’Campo', 'Suzanne Zerger', 'Catharine Chambers', 'Susan Gapka', 'Vicky Stergiopoulos']"
10.1007/s13524-018-0667-6,['Thomas Léopold']
10.1093/wber/lhn010,"['Jishnu Das', 'Quy‐Toan Do', 'Jed Friedman', 'David McKenzie']"
10.1016/j.jadohealth.2023.04.012,"['Morag C. Treanor', 'Patricio Troncoso']"
10.1002/nad.12128,['John Marlovits']
10.1002/wps.20801,"['Danuta Wasserman', 'Miriam Iosue', 'Anika Wuestefeld', 'Vladimir Carli']"
10.1002/ajpa.20724,"['Craig Hadley', 'Crystal L. Patil']"
10.1080/09540260310001635131,"['Salman Karim', 'Khalid Saeed', 'Mowaddat Hussain Rana', 'Malik H. Mubbashar', 'Rachel Jenkins']"
10.1177/0890117120982407,"['Ying Huang', 'Han Liu', 'Muntasir Masum']"
10.1001/jama.298.22.2623,"['Steven R. Counsell', 'Christopher M. Callahan', 'Daniel O. Clark', 'Wanzhu Tu', 'Amna Buttar', 'Timothy E. Stump', 'Gretchen D. Ricketts']"
10.2307/800641,"['Marta Elliott', 'Lauren J. Krivo']"
10.1176/appi.ajp.158.5.788,"['Armen Goenjian', 'Luis San', 'Alan M. Steinberg', 'Lynn A. Fairbanks', 'Maria Luisa Alvarez', 'Haig A. Goenjian', 'Robert S. Pynoos']"
10.1001/archpsyc.62.6.617,"['Ronald C. Kessler', 'Wai Tat Chiu', 'Olga Demler', 'Ellen E. Walters']"
10.1136/bmjopen-2014-006355,"['Jean‐Francois Trani', 'Parul Bakhshi', 'Jill Kuhlberg', 'Sreelatha S. Narayanan', 'Hemalatha Venkataraman', 'Nagendra Narayan Mishra', 'Nora Groce', 'Sushrut Jadhav', 'Smita N. Deshpande']"
10.1080/09540260310001635177,"['Sudhir K. Khandelwal', 'H. P. Jhingan', 'S. Ramesh', 'Rajesh Kumar Gupta', 'Vinay Kumar Srivastava']"
10.1001/archpsyc.63.5.551,"['Robert C. Whitaker', 'Sean Orzol', 'Robert S. Kahn']"
10.1002/(sici)1099-176x(199906)2:2<73::aid-mhp40>3.0.co;2-3,"['Jeanne Miranda', 'Bonnie L. Green']"
10.1186/1471-2458-12-541,"['Jim Crabb', 'Robert C. Stewart', 'Demoubly Kokota', 'Neil Masson', 'Sylvester Chabunya', 'Rajeev Krishnadas']"
10.1038/s41598-024-62634-7,"['Natsu Sasaki', 'Kazuhiro Watanabe', 'Yoshiaki Kanamori', 'Takahiro Tabuchi', 'Takeo Fujiwara', 'Daisuke Nishi']"
10.1016/s2214-109x(13)70074-3,"['Emma Fulu', 'Rachel Jewkes', 'Tim Roselli', 'Claudia García‐Moreno']"
10.1002/j.2051-5545.2008.tb00153.x,"['Atalay Alem', 'Lars Jacobsson', 'Charlotte Hanlon']"
10.1017/s0033291796004060,"['George W. Brown', 'PATRICIA M. MORAN']"
10.1017/s0047279409003250,"['Kathleen Kiernan', 'Fiona Mensah']"
10.1521/jscp.2008.27.9.903,"['Kristin D. Mickelson', 'Stacey L. Williams']"
10.1111/1467-8624.00379,"['Stephen Petterson', 'Alison B. Albers']"
10.1080/09540121.2013.825368,"['Jamie M. Lachman', 'Lucie Cluver', 'Mark Boyes', 'Caroline Kuo', 'Marisa Casale']"
10.1176/appi.ajp.159.1.43,"['Vikram Patel', 'Merlyn M. Rodrigues', 'Nandita De-Souza']"
